DO,PH,NH3-N,NO2-N,SD,TYPE
7,7.5,0.0184 ,0.0456 ,40,Ⅰ类
7,7.5,0.0114 ,0.0406 ,45,Ⅰ类
7.1,7.5,0.0121 ,0.0336 ,50,Ⅰ类
7,7.5,0.0197 ,0.0397 ,40,Ⅰ类
7.5,7.4,0.0155 ,0.1299 ,40,Ⅰ类
7.8,7.5,0.0181 ,0.0354 ,40,Ⅰ类
7.9,7.7,0.0112 ,0.0355 ,40,Ⅰ类
7.6,7.1,0.0185 ,0.1423 ,40,Ⅰ类
7.2,7.1,0.0130 ,0.0499 ,40,Ⅰ类
7.2,7.1,0.0124 ,0.0844 ,40,Ⅰ类
7.5,7.1,0.0139 ,0.0279 ,45,Ⅰ类
7.4,7.3,0.0179 ,0.0343 ,45,Ⅰ类
7.6,7.5,0.0146 ,0.0262 ,45,Ⅰ类
7.4,7.5,0.0180 ,0.1413 ,45,Ⅰ类
7.1,7.4,0.0127 ,0.0306 ,45,Ⅰ类
8,7.5,0.0153 ,0.0303 ,45,Ⅰ类
8.2,7.2,0.0161 ,0.0225 ,45,Ⅰ类
7.8,7.2,0.0175 ,0.1094 ,40,Ⅰ类
7.1,7.4,0.0143 ,0.0436 ,45,Ⅰ类
7,7.3,0.0120 ,0.0301 ,40,Ⅰ类
7.6,7,0.0141 ,0.1039 ,40,Ⅰ类
7.4,7,0.0163 ,0.1167 ,45,Ⅰ类
7.5,7.4,0.0122 ,0.0272 ,45,Ⅰ类
7.5,7.5,0.0131 ,0.0413 ,50,Ⅰ类
7.9,7.3,0.0139 ,0.0473 ,40,Ⅰ类
7.2,7.4,0.0170 ,0.0953 ,40,Ⅰ类
7.6,7.3,0.0139 ,0.0379 ,40,Ⅰ类
7.4,7.4,0.0136 ,0.0494 ,40,Ⅰ类
7.8,7.4,0.0169 ,0.0701 ,40,Ⅰ类
7.1,7.4,0.0198 ,0.0362 ,40,Ⅰ类
7.9,7.2,0.0133 ,0.1074 ,40,Ⅰ类
7.1,7.5,0.0195 ,0.0244 ,40,Ⅰ类
7.6,7.5,0.0188 ,0.1018 ,40,Ⅰ类
7.6,7.5,0.0174 ,0.0481 ,40,Ⅰ类
7.8,7.4,0.0111 ,0.0237 ,40,Ⅰ类
7.2,7.5,0.0177 ,0.0426 ,40,Ⅰ类
7.1,7.5,0.0184 ,0.0882 ,40,Ⅰ类
7.9,7.5,0.0183 ,0.0429 ,40,Ⅰ类
7.4,7.4,0.0194 ,0.0313 ,45,Ⅰ类
7.5,7.5,0.0189 ,0.0643 ,40,Ⅰ类
7.8,7.2,0.0126 ,0.0406 ,40,Ⅰ类
7.4,7.4,0.0123 ,0.0246 ,45,Ⅰ类
7.3,7.4,0.0116 ,0.0481 ,40,Ⅰ类
7.3,7.2,0.0183 ,0.0888 ,50,Ⅰ类
7.4,7.4,0.0173 ,0.0293 ,55,Ⅰ类
7.5,7,0.0189 ,0.0321 ,40,Ⅰ类
7.1,7,0.0185 ,0.0445 ,45,Ⅰ类
7.2,7.2,0.0171 ,0.1294 ,40,Ⅰ类
7.3,7.3,0.0155 ,0.0415 ,50,Ⅰ类
7.3,7.4,0.0125 ,0.1029 ,40,Ⅰ类
7.5,7.4,0.0188 ,0.0884 ,45,Ⅰ类
7.5,7.3,0.0173 ,0.0461 ,40,Ⅰ类
7.4,7.4,0.0192 ,0.0289 ,50,Ⅰ类
7.3,7.3,0.0115 ,0.1033 ,55,Ⅰ类
7.3,7.2,0.0151 ,0.0458 ,50,Ⅰ类
7.5,7.4,0.0195 ,0.0254 ,45,Ⅰ类
7.5,7.4,0.0177 ,0.0474 ,40,Ⅰ类
7.2,7.4,0.0167 ,0.0739 ,45,Ⅰ类
7.1,7.3,0.0137 ,0.0311 ,50,Ⅰ类
6,7.3,0.0263 ,0.0050 ,30,Ⅱ类
5,7.2,0.0433 ,0.0040 ,30,Ⅱ类
7,7.4,0.0432 ,0.0060 ,35,Ⅱ类
6,7.3,0.0219 ,0.0050 ,40,Ⅱ类
5,7.6,0.1249 ,0.0040 ,40,Ⅱ类
6,7.7,0.0407 ,0.0050 ,40,Ⅱ类
6,7.9,0.0434 ,0.0060 ,30,Ⅱ类
5,7.6,0.0695 ,0.0050 ,30,Ⅱ类
5,7.8,0.0203 ,0.0180 ,30,Ⅱ类
6,8,0.1107 ,0.0200 ,35,Ⅱ类
7,8,0.0352 ,0.0260 ,35,Ⅱ类
7,7.5,0.0431 ,0.0100 ,35,Ⅱ类
7,7.8,0.0278 ,0.0150 ,35,Ⅱ类
7,7.7,0.0833 ,0.0180 ,40,Ⅱ类
5,7.7,0.0285 ,0.0200 ,40,Ⅱ类
6,7.5,0.0258 ,0.0220 ,40,Ⅱ类
6,7.5,0.0354 ,0.0240 ,35,Ⅱ类
5,7.2,0.1152 ,0.0150 ,35,Ⅱ类
4.5,6.8,0.0427 ,0.0100 ,35,Ⅱ类
5,7,0.0346 ,0.0100 ,35,Ⅱ类
6,7,0.1095 ,0.0100 ,40,Ⅱ类
5.6,7.1,0.0691 ,0.0040 ,40,Ⅱ类
5.3,7,0.0275 ,0.0040 ,40,Ⅱ类
5,7.2,0.0476 ,0.0060 ,40,Ⅱ类
4.5,7.1,0.0263 ,0.0070 ,40,Ⅱ类
5,7.3,0.0885 ,0.0090 ,40,Ⅱ类
6,7.4,0.0315 ,0.0100 ,40,Ⅱ类
6.1,7.3,0.0406 ,0.0120 ,40,Ⅱ类
5,7.4,0.1198 ,0.0140 ,40,Ⅱ类
4.5,7.4,0.0403 ,0.0190 ,40,Ⅱ类
4.3,7.6,0.1111 ,0.0250 ,40,Ⅱ类
4.1,7.9,0.0365 ,0.0200 ,40,Ⅱ类
7,7.4,0.1032 ,0.0190 ,40,Ⅱ类
6,7.6,0.0362 ,0.0180 ,40,Ⅱ类
5,7.8,0.0332 ,0.0090 ,40,Ⅱ类
6.5,7.5,0.0314 ,0.0100 ,40,Ⅱ类
6.1,7.7,0.1099 ,0.0210 ,35,Ⅱ类
6.2,7.4,0.0428 ,0.0180 ,35,Ⅱ类
5,7.6,0.0215 ,0.0190 ,35,Ⅱ类
6,7.5,0.1282 ,0.0170 ,35,Ⅱ类
5.9,7.5,0.0388 ,0.0150 ,35,Ⅱ类
5.2,7.1,0.0411 ,0.0130 ,35,Ⅱ类
4.5,7.2,0.0398 ,0.0100 ,35,Ⅱ类
5.1,6.9,0.0851 ,0.0100 ,35,Ⅱ类
6.2,7.1,0.0273 ,0.0100 ,35,Ⅱ类
6.1,7.2,0.0384 ,0.0030 ,35,Ⅱ类
5.5,7.2,0.0386 ,0.0040 ,35,Ⅱ类
6.9,7.4,0.0745 ,0.0050 ,35,Ⅱ类
6.4,7.3,0.0439 ,0.0050 ,35,Ⅱ类
6.3,7.5,0.0671 ,0.0070 ,35,Ⅱ类
6.4,7.7,0.1257 ,0.0080 ,35,Ⅱ类
6.2,7.8,0.0468 ,0.0090 ,35,Ⅱ类
5.9,7.6,0.0488 ,0.0080 ,35,Ⅱ类
5.4,7.4,0.0592 ,0.0100 ,40,Ⅱ类
5.9,7.9,0.0364 ,0.0120 ,35,Ⅱ类
6.5,7.9,0.0411 ,0.0140 ,40,Ⅱ类
7.1,7.9,0.0481 ,0.0160 ,40,Ⅱ类
6,8,0.0884 ,0.0180 ,40,Ⅱ类
5.1,8.1,0.0357 ,0.0210 ,35,Ⅱ类
4.7,7.5,0.0503 ,0.0290 ,35,Ⅱ类
4.6,7.8,0.0476 ,0.0190 ,35,Ⅱ类
4.9,7.8,0.0458 ,0.0180 ,35,Ⅱ类
5,7.6,0.0449 ,0.0200 ,35,Ⅱ类
6.1,7.5,0.0343 ,0.0220 ,35,Ⅱ类
6.2,7.4,0.1435 ,0.0190 ,35,Ⅱ类
5.9,7.3,0.0368 ,0.0160 ,40,Ⅱ类
4.9,6.9,0.0219 ,0.0150 ,40,Ⅱ类
5.2,7.1,0.0662 ,0.0130 ,40,Ⅱ类
6.1,7,0.0444 ,0.0110 ,40,Ⅱ类
4.5,8.4,0.0274 ,0.0151 ,20,Ⅲ类
4,8.2,0.0239 ,0.0189 ,30,Ⅲ类
4.5,8.2,0.0324 ,0.0128 ,25,Ⅲ类
4,8.3,0.0348 ,0.1456 ,30,Ⅲ类
3.5,8.4,0.0274 ,0.0078 ,20,Ⅲ类
4.4,8.3,0.0284 ,0.0149 ,25,Ⅲ类
4.7,8.4,0.0413 ,0.0153 ,20,Ⅲ类
4.8,8.4,0.0239 ,0.0081 ,20,Ⅲ类
4.5,8.4,0.0234 ,0.0159 ,30,Ⅲ类
4,8.3,0.0249 ,0.0143 ,30,Ⅲ类
4.7,8.3,0.0279 ,0.0114 ,20,Ⅲ类
4.1,8.2,0.0309 ,0.0113 ,25,Ⅲ类
4.6,8.2,0.0348 ,0.0151 ,30,Ⅲ类
4.1,8.2,0.0274 ,0.0189 ,25,Ⅲ类
4.5,8.3,0.0279 ,0.0128 ,30,Ⅲ类
4.9,8.5,0.0274 ,0.1456 ,30,Ⅲ类
4.7,8.6,0.0239 ,0.0078 ,25,Ⅲ类
4.7,8.5,0.0284 ,0.0149 ,20,Ⅲ类
4.7,8.6,0.0413 ,0.0153 ,20,Ⅲ类
5.2,8.5,0.0239 ,0.0081 ,35,Ⅲ类
5.5,8.8,0.0234 ,0.0159 ,35,Ⅲ类
5.3,8.9,0.0249 ,0.0143 ,30,Ⅲ类
4.3,8.4,0.0324 ,0.0114 ,30,Ⅲ类
3.9,8.6,0.0314 ,0.0038 ,30,Ⅲ类
4.5,8.2,0.0160 ,0.0041 ,25,Ⅲ类
5,8.2,0.0249 ,0.0076 ,30,Ⅲ类
4.6,8.4,0.0169 ,0.0081 ,25,Ⅲ类
5.9,8.3,0.0229 ,0.0139 ,30,Ⅲ类
4.8,8.6,0.0184 ,0.0158 ,30,Ⅲ类
4.4,8.2,0.0304 ,0.0071 ,30,Ⅲ类
4.4,8.3,0.0314 ,0.0081 ,30,Ⅲ类
4.6,8.2,0.0160 ,0.0054 ,25,Ⅲ类
4.3,8.1,0.0249 ,0.0071 ,25,Ⅲ类
3.9,8,0.0169 ,0.0038 ,20,Ⅲ类
4.3,8.2,0.0174 ,0.0041 ,20,Ⅲ类
4.2,8.2,0.0145 ,0.0350 ,20,Ⅲ类
4.5,8.2,0.0269 ,0.0074 ,25,Ⅲ类
4,8,0.0254 ,0.0294 ,25,Ⅲ类
4.1,8,0.0229 ,0.0058 ,25,Ⅲ类
3.9,8,0.0304 ,0.0076 ,20,Ⅲ类
4.2,8,0.0249 ,0.0079 ,20,Ⅲ类
4,7.9,0.0148 ,0.0413 ,20,Ⅲ类
3.4,7.9,0.0169 ,0.0358 ,25,Ⅲ类
3.8,8,0.0136 ,0.0373 ,30,Ⅲ类
2.5,8,0.0071 ,0.0264 ,25,Ⅲ类
3.5,8,0.0104 ,0.0324 ,20,Ⅲ类
4.4,7.8,0.0253 ,0.0150 ,25,Ⅲ类
4,7.9,0.0101 ,0.0304 ,30,Ⅲ类
3.1,8,0.0096 ,0.0348 ,25,Ⅲ类
3.5,8,0.0158 ,0.0388 ,25,Ⅲ类
3.8,7.8,0.0106 ,0.0443 ,30,Ⅲ类
3.3,7.9,0.0124 ,0.0324 ,20,Ⅲ类
3.6,7.8,0.0126 ,0.0388 ,25,Ⅲ类
4.2,8,0.0071 ,0.0264 ,25,Ⅲ类
3.3,8,0.0104 ,0.0324 ,25,Ⅲ类
4.4,8.1,0.0124 ,0.0324 ,20,Ⅲ类
4,7.9,0.0148 ,0.0413 ,20,Ⅲ类
3.6,8,0.0169 ,0.0358 ,20,Ⅲ类
3.5,8.1,0.0253 ,0.0304 ,25,Ⅲ类
3.7,8,0.0101 ,0.0150 ,30,Ⅲ类
3.3,7.9,0.0096 ,0.0443 ,20,Ⅲ类
3.5,8,0.0158 ,0.0388 ,20,Ⅲ类
3.8,7.8,0.0106 ,0.0348 ,30,Ⅲ类
4.2,7.9,0.0136 ,0.0373 ,25,Ⅲ类
3.6,7,0.0126 ,0.0388 ,25,Ⅲ类
4.3,9.1,0.0244 ,0.0081 ,25,Ⅲ类
3,8.6,0.0314 ,0.0079 ,20,Ⅲ类
4.1,8.4,0.0329 ,0.0076 ,30,Ⅲ类
3.7,8.3,0.0453 ,0.0113 ,30,Ⅲ类
3.4,8.2,0.0358 ,0.0106 ,25,Ⅲ类
3.9,8.5,0.0249 ,0.0144 ,25,Ⅲ类
3.9,8.4,0.0329 ,0.0153 ,20,Ⅲ类
3.3,8.3,0.0314 ,0.0089 ,20,Ⅲ类
3.4,8.3,0.0254 ,0.0113 ,20,Ⅲ类
3.8,8.3,0.0348 ,0.0174 ,25,Ⅲ类
4.1,8,0.0353 ,0.0089 ,30,Ⅲ类
3.1,8.1,0.0388 ,0.0073 ,25,Ⅲ类
3.4,8.5,0.0140 ,0.0366 ,20,Ⅲ类
2.9,8.3,0.0533 ,0.0262 ,25,Ⅲ类
3.6,8.6,0.0127 ,0.0368 ,30,Ⅲ类
3.8,8.5,0.0127 ,0.0279 ,25,Ⅲ类
3.5,8.6,0.0094 ,0.0279 ,20,Ⅲ类
3.7,8.6,0.0112 ,0.0302 ,25,Ⅲ类
3.4,8.9,0.0081 ,0.0284 ,25,Ⅲ类
3.5,8.2,0.0088 ,0.0270 ,25,Ⅲ类
4,8.3,0.0077 ,0.0284 ,20,Ⅲ类
4,8.3,0.0099 ,0.0319 ,20,Ⅲ类
3.8,8.6,0.0137 ,0.0328 ,20,Ⅲ类
3.9,8.6,0.0178 ,0.0426 ,25,Ⅲ类
4.1,7.4,0.0416 ,0.0222 ,30,Ⅲ类
4.1,7.2,0.0220 ,0.2146 ,25,Ⅲ类
2.7,7.2,0.0351 ,0.0152 ,20,Ⅲ类
3.5,7.2,0.0343 ,0.0170 ,25,Ⅲ类
3.8,7.4,0.0243 ,0.0258 ,30,Ⅲ类
4,7.6,0.0270 ,0.0113 ,25,Ⅲ类
3.7,7.6,0.0397 ,0.0180 ,25,Ⅲ类
4.1,7.6,0.0158 ,0.0076 ,30,Ⅲ类
3.8,7.5,0.0162 ,0.0081 ,20,Ⅲ类
4.1,7.5,0.0489 ,0.0240 ,25,Ⅲ类
4,8,0.0324 ,0.0180 ,25,Ⅲ类
4.2,8,0.0339 ,0.0266 ,25,Ⅲ类
3.5,8.8,0.0463 ,0.0242 ,20,Ⅲ类
3.5,8.9,0.0122 ,0.1884 ,20,Ⅲ类
3.8,8.9,0.0459 ,0.0216 ,20,Ⅲ类
3.5,8.6,0.0309 ,0.0340 ,25,Ⅲ类
3.5,8.5,0.0316 ,0.1266 ,30,Ⅲ类
4.1,8.2,0.0258 ,0.0109 ,25,Ⅲ类
4.2,8.2,0.0617 ,0.0240 ,20,Ⅲ类
4.2,8.2,0.0137 ,0.0189 ,25,Ⅲ类
4.2,8.3,0.0155 ,0.0916 ,30,Ⅲ类
4.3,8.4,0.0665 ,0.0301 ,25,Ⅲ类
3.6,8.3,0.0287 ,0.0092 ,25,Ⅲ类
3.4,8.3,0.0397 ,0.0894 ,30,Ⅲ类
1.9,6.2,0.8000 ,3.5000 ,15,Ⅳ类
1.8,8.6,0.9000 ,4.3000 ,15,Ⅳ类
2.5,8.8,0.5000 ,4.7000 ,10,Ⅳ类
0.9,6.3,0.6000 ,3.0000 ,10,Ⅳ类
0.8,6.1,0.9000 ,3.2000 ,15,Ⅳ类
2.1,6,0.4000 ,2.6000 ,10,Ⅳ类
1.6,6.2,0.3000 ,3.2000 ,15,Ⅳ类
2.5,6.3,0.6000 ,4.3000 ,20,Ⅳ类
2.3,8.5,0.8000 ,3.1000 ,20,Ⅳ类
2.8,8.6,0.7000 ,4.0000 ,20,Ⅳ类
2.1,8.7,0.2000 ,4.2000 ,15,Ⅳ类
2.5,8.8,0.3000 ,3.8000 ,10,Ⅳ类
1.6,8.5,0.1000 ,3.9000 ,15,Ⅳ类
1.2,6.2,0.6000 ,5.0000 ,10,Ⅳ类
1,6,0.4000 ,4.8000 ,20,Ⅳ类
1.6,6.3,0.8000 ,2.9000 ,15,Ⅳ类
1.8,6.5,0.6000 ,3.0000 ,10,Ⅳ类
1.7,6.4,0.2000 ,4.7000 ,10,Ⅳ类
0.8,8.7,0.5000 ,3.6000 ,10,Ⅳ类
0.4,9,0.3000 ,4.0000 ,15,Ⅳ类
0.3,6.5,0.8000 ,3.4000 ,20,Ⅳ类
0.9,6.3,0.9000 ,3.7000 ,20,Ⅳ类
0.5,6.4,1.0000 ,3.4000 ,15,Ⅳ类
3,6,0.5000 ,3.2000 ,15,Ⅳ类
2.6,8.5,0.7000 ,3.1000 ,15,Ⅳ类
2.8,9,0.4000 ,4.1000 ,10,Ⅳ类
2,8.6,0.5000 ,4.7000 ,10,Ⅳ类
2.3,8.8,0.6000 ,5.0000 ,10,Ⅳ类
2.4,8.7,0.2000 ,2.8000 ,10,Ⅳ类
1.9,8.8,0.1000 ,3.5000 ,20,Ⅳ类
1.3,9,0.3000 ,3.8000 ,20,Ⅳ类
1,6,0.5000 ,3.7000 ,15,Ⅳ类
1.2,6.4,0.6000 ,4.7000 ,15,Ⅳ类
1.7,6.1,1.0000 ,3.5000 ,15,Ⅳ类
1.5,6.2,0.3000 ,2.9000 ,10,Ⅳ类
1.4,6.3,0.5000 ,4.3000 ,10,Ⅳ类
0.3,6.5,0.4000 ,4.8000 ,10,Ⅳ类
0.1,8.5,0.7000 ,4.1000 ,15,Ⅳ类
0.2,8.8,0.4000 ,4.6000 ,10,Ⅳ类
0.8,8.9,0.9000 ,3.8000 ,20,Ⅳ类
0.6,8.6,1.0000 ,3.2000 ,20,Ⅳ类
0.7,8.7,0.1000 ,3.0000 ,20,Ⅳ类
2,8.6,0.3000 ,3.1000 ,15,Ⅳ类
2.6,9,0.8000 ,2.9000 ,15,Ⅳ类
2.1,6.5,0.4000 ,2.8000 ,10,Ⅳ类
0.6,6.4,0.6000 ,3.7000 ,10,Ⅳ类
0.8,6.3,1.0000 ,3.5000 ,10,Ⅳ类
1.3,6.1,0.9000 ,3.4000 ,20,Ⅳ类
1,6,0.2000 ,3.3000 ,20,Ⅳ类
1.9,8.7,0.1000 ,4.4000 ,20,Ⅳ类
2.1,6.5,0.6000 ,3.4000 ,15,Ⅳ类
2.2,8.7,0.4000 ,5.0000 ,15,Ⅳ类
2.7,6.1,0.7000 ,2.8000 ,15,Ⅳ类
2.6,6,0.1000 ,2.9000 ,10,Ⅳ类
2.1,6.3,0.6000 ,3.3000 ,20,Ⅳ类
0.9,8.9,0.5000 ,3.4000 ,20,Ⅳ类
0.1,8.8,0.6000 ,3.9000 ,15,Ⅳ类
0.2,8.5,1.0000 ,3.2000 ,10,Ⅳ类
0.7,8.7,0.4000 ,4.4000 ,15,Ⅳ类
0.6,9,0.6000 ,4.3000 ,10,Ⅳ类
0.01,1.2,5.2000 ,5.0000 ,8,Ⅴ类
0.09,1.1,5.1000 ,9.2000 ,9,Ⅴ类
0.08,1.1,5.5000 ,8.8000 ,8,Ⅴ类
0.01,1.5,5.3000 ,10.0000 ,7,Ⅴ类
0.05,1.6,5.6000 ,4.0000 ,8,Ⅴ类
0.08,1.7,6.0000 ,5.0000 ,9,Ⅴ类
0.09,2,7.0000 ,11.0000 ,9,Ⅴ类
0.08,2,6.0000 ,12.0000 ,8,Ⅴ类
0.07,1.8,7.0000 ,11.0000 ,9,Ⅴ类
0.06,2.1,6.1000 ,5.2000 ,7,Ⅴ类
0.05,2.4,7.5000 ,5.5000 ,9,Ⅴ类
0.01,2.3,8.0000 ,5.2000 ,1,Ⅴ类
0.06,2.5,7.6000 ,11.8000 ,2,Ⅴ类
0.07,3,6.6000 ,10.3000 ,3,Ⅴ类
0.09,1.7,6.9000 ,11.1000 ,1,Ⅴ类
0.08,1.8,7.8000 ,5.4000 ,1,Ⅴ类
0.08,1.9,7.2000 ,5.5000 ,2,Ⅴ类
0.07,2.1,8.0000 ,5.7000 ,3,Ⅴ类
0.09,1.5,7.5000 ,7.0000 ,5,Ⅴ类
0.09,1.4,7.5000 ,7.3000 ,5,Ⅴ类
0.06,1.7,6.9000 ,5.7000 ,8,Ⅴ类
0.05,2.1,7.3000 ,11.8000 ,9,Ⅴ类
0.06,1.2,6.2000 ,5.9000 ,4,Ⅴ类
0.07,2.7,8.7000 ,5.7000 ,3,Ⅴ类
0.09,1.5,7.7000 ,7.0000 ,5,Ⅴ类
0.07,1.3,7.5000 ,7.3000 ,5,Ⅴ类
0.09,2.3,7.9000 ,5.8000 ,9,Ⅴ类
0.03,1.5,6.9000 ,5.7000 ,8,Ⅴ类
0.03,2.1,7.3000 ,11.8000 ,9,Ⅴ类
0.02,2.7,6.6000 ,5.2000 ,6,Ⅴ类
0.08,2.1,8.7000 ,5.8000 ,7,Ⅴ类
0.07,1.9,7.7000 ,7.7000 ,9,Ⅴ类
0.06,1.6,7.6000 ,5.4000 ,6,Ⅴ类
0.07,2.1,5.5000 ,8.8000 ,8,Ⅴ类
0.01,3.1,5.3000 ,10.5000 ,7,Ⅴ类
0.05,1.2,6.6000 ,3.4000 ,8,Ⅴ类
0.08,1.6,6.0000 ,5.6000 ,2,Ⅴ类
0.07,2.3,7.0000 ,11.5000 ,3,Ⅴ类
0.08,2.3,6.0000 ,12.0000 ,5,Ⅴ类
0.07,1.8,7.0000 ,11.0000 ,9,Ⅴ类
0.06,2.2,6.1000 ,5.2000 ,7,Ⅴ类
0.05,2.6,7.5000 ,5.3000 ,4,Ⅴ类
0.01,3.3,8.0000 ,5.7000 ,1,Ⅴ类
0.02,3.4,8.7000 ,4.6000 ,2,Ⅴ类
0.05,1.2,8.2000 ,11.2000 ,7,Ⅴ类
0.07,1.1,8.3000 ,10.2000 ,5,Ⅴ类
0.03,1.2,8.5000 ,10.3000 ,6,Ⅴ类
0.04,1.3,8.7000 ,11.3000 ,9,Ⅴ类
0.07,2.3,6.0000 ,10.0000 ,8,Ⅴ类
